sol,Event_time,family,SNR
220, 2019-07-11T02:47:37.732000Z,LF,1.37
232, 2019-07-23T11:40:07.744000Z,LF,1.23
255, 2019-08-15T22:55:39.255000Z,LF,1.91
260, 2019-08-21T02:57:43.255000Z,LF,1.44
356, 2019-11-27T21:58:22.418000Z,LF,1.33
379, 2019-12-21T10:38:33.738000Z,LF,1.44
428, 2020-02-09T19:48:02.984000Z,LF,1.49
692, 2020-11-06T19:22:59.833000Z,LF,1.5
882, 2021-05-21T06:49:52.712000Z,LF,1.64
177, 2019-05-27T04:58:12.807000Z,HF,1.59
193, 2019-06-13T09:38:01.762000Z,HF,1.43
199, 2019-06-18T19:19:02.762000Z,HF,1.56
199, 2019-06-18T21:39:21.762000Z,HF,1.44
204, 2019-06-24T02:03:10.762000Z,HF,1.48
223, 2019-07-14T06:12:19.762000Z,HF,2.0
235, 2019-07-26T14:48:25.518000Z,HF,1.26
258, 2019-08-19T03:40:06.518000Z,HF,1.37
301, 2019-10-01T16:43:31.328000Z,HF,1.41
312, 2019-10-13T14:02:38.328000Z,HF,1.38
320, 2019-10-21T21:37:39.006000Z,HF,1.58
329, 2019-10-31T03:00:42.006000Z,HF,1.37
332, 2019-11-03T03:57:15.006000Z,HF,1.45
335, 2019-11-06T08:10:31.006000Z,HF,1.46
336, 2019-11-07T04:51:20.006000Z,HF,1.82
337, 2019-11-08T06:43:48.006000Z,HF,1.48
342, 2019-11-13T09:21:07.006000Z,HF,1.48
350, 2019-11-21T15:14:01.006000Z,HF,1.34
354, 2019-11-25T21:14:48.807000Z,HF,1.35
355, 2019-11-26T18:57:03.807000Z,HF,1.52
356, 2019-11-27T20:47:56.807000Z,HF,1.5
381, 2019-12-22T19:11:19.807000Z,HF,2.09
391, 2020-01-02T17:50:11.590000Z,HF,1.39
398, 2020-01-09T21:00:15.590000Z,HF,1.61
403, 2020-01-14T09:25:40.590000Z,HF,1.54
429, 2020-02-10T20:19:53.369999Z,HF,1.45
441, 2020-02-23T01:40:34.370000Z,HF,1.61
455, 2020-03-08T12:14:32.370000Z,HF,1.6
457, 2020-03-10T12:52:55.370000Z,HF,1.58
497, 2020-04-20T14:39:15.174000Z,HF,1.77
502, 2020-04-25T07:18:44.174000Z,HF,1.72
